buildingID,title,poso,plirothike,date_created
43,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,5.00,false,2023-05-02 07:48:10.509261 +00:00
43,ΔΙΑΧ/ΚΑ,30.75,false,2023-05-02 07:48:07.519644 +00:00
43,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,51.50,false,2023-05-02 07:48:04.172695 +00:00
43,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,35.00,false,2023-05-02 07:48:00.540612 +00:00
30,ΑΛΛΑΓΗ ΚΥΛΙΝΔΡΟΥ ΚΕΝΤΡΙΚΗΣ-ΚΛΕΙΔΙΑ,69.00,true,2023-05-02 07:38:15.637346 +00:00
30,ΔΕΗ 18/11/22-19/03/23,113.50,false,2023-05-02 07:37:06.967115 +00:00
30,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,25.00,false,2023-05-02 07:35:54.045478 +00:00
30,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,46.50,false,2023-05-02 07:35:49.650013 +00:00
30,ΔΙΑΧ/ΚΑ,47.00,false,2023-05-02 07:35:32.717531 +00:00
30,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,5.00,false,2023-05-02 07:35:28.432558 +00:00
63,ΗΛΕΚΤΡΟΛΟΓΟΣ-ΛΑΜΠΑ (ΚΑΥΣΤΗΡΑΣ),6.20,true,2023-05-02 07:29:48.720971 +00:00
63,ΔΙΑΧ/ΚΑ,28.00,false,2023-05-02 07:22:43.928408 +00:00
63,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,55.00,false,2023-05-02 07:22:39.593593 +00:00
63,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,30.00,false,2023-05-02 07:22:36.381610 +00:00
28,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,0.30,true,2023-05-02 07:20:59.391047 +00:00
28,ΚΑΘΑΡΙΣΜΟΣ ΑΚΑΛΥΠΤΟΥ,40.00,true,2023-05-02 07:20:13.215615 +00:00
28,ΔΕΥΑΠ 22/11/22-22/01/23,14.00,true,2023-05-02 07:19:43.429147 +00:00
28,ΔΕΗ 17/11/22-19/03/23,116.50,true,2023-05-02 07:19:00.021764 +00:00
28,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,30.00,false,2023-05-02 07:17:34.593678 +00:00
28,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,33.50,false,2023-05-02 07:17:31.642698 +00:00
28,ΔΙΑΧ/ΚΑ,16.00,false,2023-05-02 07:17:28.707600 +00:00
34,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,0.93,true,2023-05-02 07:14:44.100178 +00:00
34,ΔΕΗ 14/11/22-13/03/23,7.50,true,2023-05-02 07:13:28.509560 +00:00
34,ΔΙΑΧ/ΚΑ,41.82,false,2023-05-02 07:11:52.179452 +00:00
34,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,35.00,false,2023-05-02 07:11:48.104329 +00:00
166,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,10.17,true,2023-04-28 12:24:10.465399 +00:00
166,ΘΕΡΜΑΝΣΗ-ΚΑΤΑΝΑΛΩΣΗ,438.90,true,2023-04-28 12:23:36.851780 +00:00
166,ΔΕΗ 06/02/23-03/04/23,178.00,false,2023-04-28 12:20:32.159820 +00:00
166,ΔΙΑΧ/ΚΑ,30.00,false,2023-04-28 12:19:13.228421 +00:00
165,ΔΕΗ ΕΝΑΝΤΙ 06/02/23-03/04/23,178.00,false,2023-04-28 12:12:59.570426 +00:00
165,ΔΙΑΧ/ΚΑ,30.00,false,2023-04-28 12:11:19.060235 +00:00
152,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,100.00,false,2023-04-28 07:45:58.335369 +00:00
152,επιστροφη,-250.00,true,2023-04-28 07:32:20.329605 +00:00
54,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,135.20,false,2023-04-24 19:00:01.386460 +00:00
54,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,107.53,false,2023-04-24 19:00:01.318081 +00:00
54,ΔΙΑΧ/ΚΑ,138.25,false,2023-04-24 19:00:00.779844 +00:00
54,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,10.00,false,2023-04-24 19:00:00.681408 +00:00
146,ΔΕΗ 12/01/23-08/03/23,106.50,false,2023-04-21 11:08:19.058347 +00:00
146,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,50.00,false,2023-04-21 11:04:15.887652 +00:00
146,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,4.00,false,2023-04-21 11:04:11.452724 +00:00
146,ΔΙΑΧ/ΚΑ,20.00,false,2023-04-21 11:04:04.595352 +00:00
53,ΚΑΘΑΡΙΣΜΟΣ ΚΗΠΟΥ-ΚΛΑΔΕΜΑ ΔΕΝΤΡΟΥ,50.00,true,2023-04-21 10:59:47.563031 +00:00
53,ΔΕΥΑΠ 24/08/22-22/12/22,15.00,true,2023-04-21 10:58:44.088842 +00:00
53,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,6.00,true,2023-04-21 10:55:58.379033 +00:00
53,ΔΙΑΧ/ΚΑ,45.00,true,2023-04-21 10:55:55.093027 +00:00
53,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,60.50,true,2023-04-21 10:55:51.346468 +00:00
53,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,45.00,true,2023-04-21 10:55:47.190722 +00:00
